#Name	PEP_START	PEP_END	DOM_START	DOM_END
3BHS1_HUMAN_TRANSMEM1	283	352	288	308
3BHS2_HUMAN_TRANSMEM1	282	351	287	307
3BHS7_HUMAN_TRANSMEM1	284	353	289	309
3BHS7_HUMAN_TRANSMEM2	306	369	311	331
4F2_HUMAN_TRANSMEM1	180	249	185	205
5HT1A_HUMAN_TRANSMEM1	32	101	37	62
5HT1A_HUMAN_TRANSMEM2	69	138	74	98
5HT1A_HUMAN_TRANSMEM3	106	175	111	132
5HT1A_HUMAN_TRANSMEM4	148	217	153	178
5HT1A_HUMAN_TRANSMEM5	187	256	192	217
5HT1A_HUMAN_TRANSMEM6	341	410	346	367
5HT1A_HUMAN_TRANSMEM7	374	422	379	403
5HT1B_HUMAN_TRANSMEM1	45	114	50	75
5HT1B_HUMAN_TRANSMEM2	80	149	85	110
5HT1B_HUMAN_TRANSMEM3	119	188	124	145
5HT1B_HUMAN_TRANSMEM4	161	230	166	187
5HT1B_HUMAN_TRANSMEM5	201	270	206	228
5HT1B_HUMAN_TRANSMEM6	311	380	316	336
5HT1B_HUMAN_TRANSMEM7	345	390	350	371
5HT1D_HUMAN_TRANSMEM1	34	103	39	64
5HT1D_HUMAN_TRANSMEM2	71	140	76	98
5HT1D_HUMAN_TRANSMEM3	108	177	113	134
5HT1D_HUMAN_TRANSMEM4	150	219	155	176
5HT1D_HUMAN_TRANSMEM5	190	259	195	217
5HT1D_HUMAN_TRANSMEM6	298	367	303	326
5HT1D_HUMAN_TRANSMEM7	331	377	336	360
5HT1E_HUMAN_TRANSMEM1	18	87	23	47
5HT1E_HUMAN_TRANSMEM2	55	124	60	82
5HT1E_HUMAN_TRANSMEM3	92	161	97	118
5HT1E_HUMAN_TRANSMEM4	134	203	139	159
5HT1E_HUMAN_TRANSMEM5	175	244	180	202
5HT1E_HUMAN_TRANSMEM6	287	356	292	314
5HT1E_HUMAN_TRANSMEM7	320	365	325	347
5HT1F_HUMAN_TRANSMEM1	25	94	30	50
5HT1F_HUMAN_TRANSMEM2	56	125	61	83
5HT1F_HUMAN_TRANSMEM3	93	162	98	118
5HT1F_HUMAN_TRANSMEM4	136	205	141	161
5HT1F_HUMAN_TRANSMEM5	174	243	179	201
5HT1F_HUMAN_TRANSMEM6	286	355	291	311
5HT1F_HUMAN_TRANSMEM7	325	366	330	350
5HT2A_HUMAN_TRANSMEM1	71	140	76	99
5HT2A_HUMAN_TRANSMEM2	106	175	111	132
5HT2A_HUMAN_TRANSMEM3	144	213	149	171
5HT2A_HUMAN_TRANSMEM4	187	256	192	215
5HT2A_HUMAN_TRANSMEM5	229	298	234	254
5HT2A_HUMAN_TRANSMEM6	320	389	325	346
5HT2A_HUMAN_TRANSMEM7	358	427	363	384
5HT2B_HUMAN_TRANSMEM1	52	121	57	79
5HT2B_HUMAN_TRANSMEM2	86	155	91	113
5HT2B_HUMAN_TRANSMEM3	125	194	130	151
5HT2B_HUMAN_TRANSMEM4	167	236	172	192
5HT2B_HUMAN_TRANSMEM5	212	281	217	239
5HT2B_HUMAN_TRANSMEM6	320	389	325	345
5HT2B_HUMAN_TRANSMEM7	356	425	361	382
5HT2C_HUMAN_TRANSMEM1	48	117	53	78
5HT2C_HUMAN_TRANSMEM2	85	154	90	110
5HT2C_HUMAN_TRANSMEM3	123	192	128	150
5HT2C_HUMAN_TRANSMEM4	166	235	171	193
5HT2C_HUMAN_TRANSMEM5	209	278	214	235
5HT2C_HUMAN_TRANSMEM6	307	376	312	333
5HT2C_HUMAN_TRANSMEM7	344	413	349	371
5HT3A_HUMAN_TRANSMEM1	237	306	242	268
5HT3A_HUMAN_TRANSMEM2	269	338	274	292
5HT3A_HUMAN_TRANSMEM3	298	367	303	321
5HT3A_HUMAN_TRANSMEM4	451	478	456	475
5HT3B_HUMAN_TRANSMEM1	234	303	239	259
5HT3B_HUMAN_TRANSMEM2	264	333	269	286
5HT3B_HUMAN_TRANSMEM3	299	368	304	324
5HT3B_HUMAN_TRANSMEM4	410	441	415	435
5HT3C_HUMAN_TRANSMEM1	244	313	249	269
5HT3C_HUMAN_TRANSMEM2	278	347	283	303
5HT3C_HUMAN_TRANSMEM3	302	371	307	329
5HT3C_HUMAN_TRANSMEM4	420	447	425	445
5HT3D_HUMAN_TRANSMEM1	228	297	233	253
5HT3D_HUMAN_TRANSMEM2	260	329	265	285
5HT3D_HUMAN_TRANSMEM3	302	371	307	327
5HT3D_HUMAN_TRANSMEM4	427	454	432	452
5HT3E_HUMAN_TRANSMEM1	244	313	249	269
5HT3E_HUMAN_TRANSMEM2	278	347	283	303
5HT3E_HUMAN_TRANSMEM3	303	372	308	328
5HT3E_HUMAN_TRANSMEM4	429	456	434	454
5HT4R_HUMAN_TRANSMEM1	15	84	20	40
5HT4R_HUMAN_TRANSMEM2	54	123	59	79
5HT4R_HUMAN_TRANSMEM3	89	158	94	116
5HT4R_HUMAN_TRANSMEM4	133	202	138	158
5HT4R_HUMAN_TRANSMEM5	188	257	193	213
5HT4R_HUMAN_TRANSMEM6	256	325	261	281
5HT4R_HUMAN_TRANSMEM7	290	359	295	315
5HT5A_HUMAN_TRANSMEM1	36	105	41	63
5HT5A_HUMAN_TRANSMEM2	74	143	79	99
