#Name	PEP_START	PEP_END	DOM_START	DOM_END
3BHS1_HUMAN_TRANSMEM1	288	357	288	308
3BHS2_HUMAN_TRANSMEM1	287	356	287	307
3BHS7_HUMAN_TRANSMEM1	289	358	289	309
3BHS7_HUMAN_TRANSMEM2	311	380	311	331
4F2_HUMAN_TRANSMEM1	185	254	185	205
5HT1A_HUMAN_TRANSMEM1	37	106	37	62
5HT1A_HUMAN_TRANSMEM2	74	143	74	98
5HT1A_HUMAN_TRANSMEM3	111	180	111	132
5HT1A_HUMAN_TRANSMEM4	153	222	153	178
5HT1A_HUMAN_TRANSMEM5	192	261	192	217
5HT1A_HUMAN_TRANSMEM6	346	415	346	367
5HT1A_HUMAN_TRANSMEM7	379	448	379	403
5HT1B_HUMAN_TRANSMEM1	50	119	50	75
5HT1B_HUMAN_TRANSMEM2	85	154	85	110
5HT1B_HUMAN_TRANSMEM3	124	193	124	145
5HT1B_HUMAN_TRANSMEM4	166	235	166	187
5HT1B_HUMAN_TRANSMEM5	206	275	206	228
5HT1B_HUMAN_TRANSMEM6	316	385	316	336
5HT1B_HUMAN_TRANSMEM7	350	419	350	371
5HT1D_HUMAN_TRANSMEM1	39	108	39	64
5HT1D_HUMAN_TRANSMEM2	76	145	76	98
5HT1D_HUMAN_TRANSMEM3	113	182	113	134
5HT1D_HUMAN_TRANSMEM4	155	224	155	176
5HT1D_HUMAN_TRANSMEM5	195	264	195	217
5HT1D_HUMAN_TRANSMEM6	303	372	303	326
5HT1D_HUMAN_TRANSMEM7	336	405	336	360
5HT1E_HUMAN_TRANSMEM1	23	92	23	47
5HT1E_HUMAN_TRANSMEM2	60	129	60	82
5HT1E_HUMAN_TRANSMEM3	97	166	97	118
5HT1E_HUMAN_TRANSMEM4	139	208	139	159
5HT1E_HUMAN_TRANSMEM5	180	249	180	202
5HT1E_HUMAN_TRANSMEM6	292	361	292	314
5HT1E_HUMAN_TRANSMEM7	325	394	325	347
5HT1F_HUMAN_TRANSMEM1	30	99	30	50
5HT1F_HUMAN_TRANSMEM2	61	130	61	83
5HT1F_HUMAN_TRANSMEM3	98	167	98	118
5HT1F_HUMAN_TRANSMEM4	141	210	141	161
5HT1F_HUMAN_TRANSMEM5	179	248	179	201
5HT1F_HUMAN_TRANSMEM6	291	360	291	311
5HT1F_HUMAN_TRANSMEM7	330	399	330	350
5HT2A_HUMAN_TRANSMEM1	76	145	76	99
5HT2A_HUMAN_TRANSMEM2	111	180	111	132
5HT2A_HUMAN_TRANSMEM3	149	218	149	171
5HT2A_HUMAN_TRANSMEM4	192	261	192	215
5HT2A_HUMAN_TRANSMEM5	234	303	234	254
5HT2A_HUMAN_TRANSMEM6	325	394	325	346
5HT2A_HUMAN_TRANSMEM7	363	432	363	384
5HT2B_HUMAN_TRANSMEM1	57	126	57	79
5HT2B_HUMAN_TRANSMEM2	91	160	91	113
5HT2B_HUMAN_TRANSMEM3	130	199	130	151
5HT2B_HUMAN_TRANSMEM4	172	241	172	192
5HT2B_HUMAN_TRANSMEM5	217	286	217	239
5HT2B_HUMAN_TRANSMEM6	325	394	325	345
5HT2B_HUMAN_TRANSMEM7	361	430	361	382
5HT2C_HUMAN_TRANSMEM1	53	122	53	78
5HT2C_HUMAN_TRANSMEM2	90	159	90	110
5HT2C_HUMAN_TRANSMEM3	128	197	128	150
5HT2C_HUMAN_TRANSMEM4	171	240	171	193
5HT2C_HUMAN_TRANSMEM5	214	283	214	235
5HT2C_HUMAN_TRANSMEM6	312	381	312	333
5HT2C_HUMAN_TRANSMEM7	349	418	349	371
5HT3A_HUMAN_TRANSMEM1	242	311	242	268
5HT3A_HUMAN_TRANSMEM2	274	343	274	292
5HT3A_HUMAN_TRANSMEM3	303	372	303	321
5HT3A_HUMAN_TRANSMEM4	456	525	456	475
5HT3B_HUMAN_TRANSMEM1	239	308	239	259
5HT3B_HUMAN_TRANSMEM2	269	338	269	286
5HT3B_HUMAN_TRANSMEM3	304	373	304	324
5HT3B_HUMAN_TRANSMEM4	415	484	415	435
5HT3C_HUMAN_TRANSMEM1	249	318	249	269
5HT3C_HUMAN_TRANSMEM2	283	352	283	303
5HT3C_HUMAN_TRANSMEM3	307	376	307	329
5HT3C_HUMAN_TRANSMEM4	425	494	425	445
5HT3D_HUMAN_TRANSMEM1	233	302	233	253
5HT3D_HUMAN_TRANSMEM2	265	334	265	285
5HT3D_HUMAN_TRANSMEM3	307	376	307	327
5HT3D_HUMAN_TRANSMEM4	432	501	432	452
5HT3E_HUMAN_TRANSMEM1	249	318	249	269
5HT3E_HUMAN_TRANSMEM2	283	352	283	303
