	ID	GENE	ACC	Name	TMD	Start	End	TM protein	SIGNALp	MUT	Size	N-terminus	signalp_TM	signalp_noTM	Highlight
0	3BHS1_HUMAN	HSD3B1	P14060	3BHS1_HUMAN_TRANSMEM1	TRANSMEM1	288	308	YES	0	0	5	Other	0.31	0.524	YES
1	3BHS2_HUMAN	HSD3B2	P26439	3BHS2_HUMAN_TRANSMEM1	TRANSMEM1	287	307	YES	0	28	5	Other	0.409	0.564	YES
2	3BHS7_HUMAN	HSD3B7	Q9H2F3	3BHS7_HUMAN_TRANSMEM1	TRANSMEM1	289	309	YES	0	2	5	Other	0.228	0.422	NO
3	4F2_HUMAN	SLC3A2	P08195	4F2_HUMAN_TRANSMEM1	TRANSMEM1	185	205	YES	0	0	5	Cytoplasmic	0.511	0.803	YES
4	5HT1A_HUMAN	HTR1A	P08908	5HT1A_HUMAN_TRANSMEM2	TRANSMEM2	74	98	YES	0	0	5	Cytoplasmic	0.243	0.372	NO
5	5HT1A_HUMAN	HTR1A	P08908	5HT1A_HUMAN_TRANSMEM3	TRANSMEM3	111	132	YES	0	0	5	Extracellular	0.229	0.297	NO
6	5HT1A_HUMAN	HTR1A	P08908	5HT1A_HUMAN_TRANSMEM4	TRANSMEM4	153	178	YES	0	0	5	Cytoplasmic	0.637	0.793	NO
7	5HT1A_HUMAN	HTR1A	P08908	5HT1A_HUMAN_TRANSMEM5	TRANSMEM5	192	217	YES	0	0	5	Extracellular	0.212	0.36	NO
8	5HT1A_HUMAN	HTR1A	P08908	5HT1A_HUMAN_TRANSMEM6	TRANSMEM6	346	367	YES	0	0	5	Cytoplasmic	0.585	0.785	NO
9	5HT1B_HUMAN	HTR1B	P28222	5HT1B_HUMAN_TRANSMEM2	TRANSMEM2	85	110	YES	0	0	5	Cytoplasmic	0.248	0.436	NO
10	5HT1B_HUMAN	HTR1B	P28222	5HT1B_HUMAN_TRANSMEM3	TRANSMEM3	124	145	YES	0	0	5	Extracellular	0.224	0.384	NO
11	5HT1B_HUMAN	HTR1B	P28222	5HT1B_HUMAN_TRANSMEM4	TRANSMEM4	166	187	YES	0	0	5	Cytoplasmic	0.505	0.66	YES
12	5HT1B_HUMAN	HTR1B	P28222	5HT1B_HUMAN_TRANSMEM5	TRANSMEM5	206	228	YES	0	0	5	Extracellular	0.262	0.437	NO
13	5HT1B_HUMAN	HTR1B	P28222	5HT1B_HUMAN_TRANSMEM6	TRANSMEM6	316	336	YES	0	0	5	Cytoplasmic	0.267	0.554	YES
14	5HT1D_HUMAN	HTR1D	P28221	5HT1D_HUMAN_TRANSMEM2	TRANSMEM2	76	98	YES	0	0	5	Cytoplasmic	0.27	0.478	NO
15	5HT1D_HUMAN	HTR1D	P28221	5HT1D_HUMAN_TRANSMEM3	TRANSMEM3	113	134	YES	0	0	5	Extracellular	0.223	0.363	NO
16	5HT1D_HUMAN	HTR1D	P28221	5HT1D_HUMAN_TRANSMEM4	TRANSMEM4	155	176	YES	0	0	5	Cytoplasmic	0.488	0.671	YES
17	5HT1D_HUMAN	HTR1D	P28221	5HT1D_HUMAN_TRANSMEM5	TRANSMEM5	195	217	YES	0	0	5	Extracellular	0.153	0.219	NO
18	5HT1D_HUMAN	HTR1D	P28221	5HT1D_HUMAN_TRANSMEM6	TRANSMEM6	303	326	YES	0	0	5	Cytoplasmic	0.422	0.738	YES
19	5HT1E_HUMAN	HTR1E	P28566	5HT1E_HUMAN_TRANSMEM2	TRANSMEM2	60	82	YES	0	0	5	Cytoplasmic	0.22	0.372	NO
