	ID	GENE	ACC	Name	TOPO	Start	End	Transmembrane	SIGNALp	Total_MUT	Uniprot_MUT	ClinVar_MUT	COSMIC_MUT	N-terminus
0	4F2_HUMAN	SLC3A2	P08195	4F2_HUMAN_TOPO_DOM1	TOPO_DOM1	102	184	TM	0	0	0	0	0	Cytoplasmic
1	4F2_HUMAN	SLC3A2	P08195	4F2_HUMAN_TOPO_DOM2	TOPO_DOM2	206	630	TM	0	3	0	0	3	Extracellular
2	5HT1A_HUMAN	HTR1A	P08908	5HT1A_HUMAN_TOPO_DOM1	TOPO_DOM1	1	36	TM	0	0	0	0	0	Extracellular
3	5HT1A_HUMAN	HTR1A	P08908	5HT1A_HUMAN_TOPO_DOM2	TOPO_DOM2	63	73	TM	0	0	0	0	0	Cytoplasmic
4	5HT1A_HUMAN	HTR1A	P08908	5HT1A_HUMAN_TOPO_DOM3	TOPO_DOM3	99	110	TM	0	0	0	0	0	Extracellular
5	5HT1A_HUMAN	HTR1A	P08908	5HT1A_HUMAN_TOPO_DOM4	TOPO_DOM4	133	152	TM	0	0	0	0	0	Cytoplasmic
6	5HT1A_HUMAN	HTR1A	P08908	5HT1A_HUMAN_TOPO_DOM5	TOPO_DOM5	179	191	TM	0	2	0	0	2	Extracellular
7	5HT1A_HUMAN	HTR1A	P08908	5HT1A_HUMAN_TOPO_DOM6	TOPO_DOM6	218	345	TM	0	8	0	0	8	Cytoplasmic
8	5HT1A_HUMAN	HTR1A	P08908	5HT1A_HUMAN_TOPO_DOM7	TOPO_DOM7	368	378	TM	0	0	0	0	0	Extracellular
9	5HT1A_HUMAN	HTR1A	P08908	5HT1A_HUMAN_TOPO_DOM8	TOPO_DOM8	404	422	TM	0	2	0	0	2	Cytoplasmic
10	5HT1B_HUMAN	HTR1B	P28222	5HT1B_HUMAN_TOPO_DOM1	TOPO_DOM1	1	49	TM	0	0	0	0	0	Extracellular
11	5HT1B_HUMAN	HTR1B	P28222	5HT1B_HUMAN_TOPO_DOM2	TOPO_DOM2	76	84	TM	0	1	0	0	1	Cytoplasmic
12	5HT1B_HUMAN	HTR1B	P28222	5HT1B_HUMAN_TOPO_DOM3	TOPO_DOM3	111	123	TM	0	0	0	0	0	Extracellular
13	5HT1B_HUMAN	HTR1B	P28222	5HT1B_HUMAN_TOPO_DOM4	TOPO_DOM4	146	165	TM	0	0	0	0	0	Cytoplasmic
14	5HT1B_HUMAN	HTR1B	P28222	5HT1B_HUMAN_TOPO_DOM5	TOPO_DOM5	188	205	TM	0	0	0	0	0	Extracellular
15	5HT1B_HUMAN	HTR1B	P28222	5HT1B_HUMAN_TOPO_DOM6	TOPO_DOM6	229	315	TM	0	4	0	0	4	Cytoplasmic
16	5HT1B_HUMAN	HTR1B	P28222	5HT1B_HUMAN_TOPO_DOM7	TOPO_DOM7	337	349	TM	0	0	0	0	0	Extracellular
17	5HT1B_HUMAN	HTR1B	P28222	5HT1B_HUMAN_TOPO_DOM8	TOPO_DOM8	372	390	TM	0	0	0	0	0	Cytoplasmic
18	5HT1D_HUMAN	HTR1D	P28221	5HT1D_HUMAN_TOPO_DOM1	TOPO_DOM1	1	38	TM	0	1	0	0	1	Extracellular
19	5HT1D_HUMAN	HTR1D	P28221	5HT1D_HUMAN_TOPO_DOM2	TOPO_DOM2	65	75	TM	0	0	0	0	0	Cytoplasmic
20	5HT1D_HUMAN	HTR1D	P28221	5HT1D_HUMAN_TOPO_DOM3	TOPO_DOM3	99	112	TM	0	0	0	0	0	Extracellular
21	5HT1D_HUMAN	HTR1D	P28221	5HT1D_HUMAN_TOPO_DOM4	TOPO_DOM4	135	154	TM	0	0	0	0	0	Cytoplasmic
22	5HT1D_HUMAN	HTR1D	P28221	5HT1D_HUMAN_TOPO_DOM5	TOPO_DOM5	177	194	TM	0	2	0	0	2	Extracellular
23	5HT1D_HUMAN	HTR1D	P28221	5HT1D_HUMAN_TOPO_DOM6	TOPO_DOM6	218	302	TM	0	1	0	0	1	Cytoplasmic
24	5HT1D_HUMAN	HTR1D	P28221	5HT1D_HUMAN_TOPO_DOM7	TOPO_DOM7	327	335	TM	0	0	0	0	0	Extracellular
25	5HT1D_HUMAN	HTR1D	P28221	5HT1D_HUMAN_TOPO_DOM8	TOPO_DOM8	361	377	TM	0	0	0	0	0	Cytoplasmic
26	5HT1E_HUMAN	HTR1E	P28566	5HT1E_HUMAN_TOPO_DOM1	TOPO_DOM1	1	22	TM	0	0	0	0	0	Extracellular
27	5HT1E_HUMAN	HTR1E	P28566	5HT1E_HUMAN_TOPO_DOM2	TOPO_DOM2	48	59	TM	0	0	0	0	0	Cytoplasmic
28	5HT1E_HUMAN	HTR1E	P28566	5HT1E_HUMAN_TOPO_DOM3	TOPO_DOM3	83	96	TM	0	0	0	0	0	Extracellular
29	5HT1E_HUMAN	HTR1E	P28566	5HT1E_HUMAN_TOPO_DOM4	TOPO_DOM4	119	138	TM	0	1	0	0	1	Cytoplasmic
30	5HT1E_HUMAN	HTR1E	P28566	5HT1E_HUMAN_TOPO_DOM5	TOPO_DOM5	160	179	TM	0	0	0	0	0	Extracellular
31	5HT1E_HUMAN	HTR1E	P28566	5HT1E_HUMAN_TOPO_DOM6	TOPO_DOM6	203	291	TM	0	8	0	0	8	Cytoplasmic
32	5HT1E_HUMAN	HTR1E	P28566	5HT1E_HUMAN_TOPO_DOM7	TOPO_DOM7	315	324	TM	0	0	0	0	0	Extracellular
33	5HT1E_HUMAN	HTR1E	P28566	5HT1E_HUMAN_TOPO_DOM8	TOPO_DOM8	348	365	TM	0	2	0	0	2	Cytoplasmic
34	5HT1F_HUMAN	HTR1F	P30939	5HT1F_HUMAN_TOPO_DOM1	TOPO_DOM1	1	29	TM	0	1	0	0	1	Extracellular
35	5HT1F_HUMAN	HTR1F	P30939	5HT1F_HUMAN_TOPO_DOM2	TOPO_DOM2	51	60	TM	0	0	0	0	0	Cytoplasmic
36	5HT1F_HUMAN	HTR1F	P30939	5HT1F_HUMAN_TOPO_DOM3	TOPO_DOM3	84	97	TM	0	0	0	0	0	Extracellular
