ID	GENE	ACC	Name	TMD	Start	End	Position	TM protein	Signalp	Total_MUT	UniProt_MUT	ClinVar_MUT	COSMIC_MUT	Size	N_terminus	SignalP_TM	SignalP_noTM	Topfind	Highlight
3BHS1_HUMAN	HSD3B1	P14060	3BHS1_HUMAN_TRANSMEM1	TRANSMEM1	288	308	311	YES	0	4	0	0	4	5	Other	0.31	0.524		NO
3BHS2_HUMAN	HSD3B2	P26439	3BHS2_HUMAN_TRANSMEM1	TRANSMEM1	287	307	310	YES	0	31	27	8	5	5	Other	0.409	0.564		NO
3BHS7_HUMAN	HSD3B7	Q9H2F3	3BHS7_HUMAN_TRANSMEM1	TRANSMEM1	289	309	307	YES	0	4	2	1	2	5	Other	0.228	0.422		NO
3BHS7_HUMAN	HSD3B7	Q9H2F3	3BHS7_HUMAN_TRANSMEM2	TRANSMEM2	311	331	328	YES	0	4	2	1	2	5	Other	0.252	0.235		NO
4F2_HUMAN	SLC3A2	P08195	4F2_HUMAN_TRANSMEM1	TRANSMEM1	185	205	201	YES	0	3	0	0	3	5	Cytoplasmic	0.511	0.803		NO
5HT1A_HUMAN	HTR1A	P08908	5HT1A_HUMAN_TRANSMEM2	TRANSMEM2	74	98	95	YES	0	20	0	0	20	5	Cytoplasmic	0.243	0.372		NO
5HT1A_HUMAN	HTR1A	P08908	5HT1A_HUMAN_TRANSMEM3	TRANSMEM3	111	132	132	YES	0	20	0	0	20	5	Extracellular	0.229	0.297		NO
5HT1A_HUMAN	HTR1A	P08908	5HT1A_HUMAN_TRANSMEM4	TRANSMEM4	153	178	175	YES	0	20	0	0	20	5	Cytoplasmic	0.637	0.793		NO
5HT1A_HUMAN	HTR1A	P08908	5HT1A_HUMAN_TRANSMEM5	TRANSMEM5	192	217	222	YES	0	20	0	0	20	5	Extracellular	0.212	0.36		NO
5HT1A_HUMAN	HTR1A	P08908	5HT1A_HUMAN_TRANSMEM6	TRANSMEM6	346	367	374	YES	0	20	0	0	20	5	Cytoplasmic	0.585	0.785		NO
